workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
C,orig,layers_2,pread,128,1,1,0.00,100.00,1019.83,449.58,1469.41,1.59,24.00,25.00,1.83,54008116
C,orig,layers_2,async,128,1,1,0.00,100.00,1014.51,260.89,1275.40,1.59,24.00,25.00,1.83,54008444
C,orig,layers_3,pread,128,1,1,0.00,100.00,1032.62,481.62,1514.24,1.62,24.00,25.00,1.83,54008184
C,orig,layers_3,async,128,1,1,0.00,100.00,1031.75,268.29,1300.04,1.62,24.00,25.00,1.83,54009208
C,orig,layers_4,pread,128,1,1,0.00,100.00,1023.26,545.81,1569.07,1.60,24.00,25.00,1.83,54009016
C,orig,layers_4,async,128,1,1,0.00,100.00,1023.75,267.75,1291.50,1.60,24.00,25.00,1.83,54010348
C,orig,layers_5,pread,128,1,1,0.00,100.00,1023.31,648.10,1671.41,1.60,24.00,25.00,1.83,54010276
C,orig,layers_5,async,128,1,1,0.00,100.00,1015.98,271.68,1287.66,1.62,24.00,25.00,1.83,54010100
C,orig,layers_6,pread,128,1,1,0.00,100.00,984.72,771.19,1755.91,1.62,24.00,25.00,1.83,54010416
C,orig,layers_6,async,128,1,1,0.00,100.00,955.57,309.06,1264.63,1.59,24.00,25.00,1.83,54010624
C,orig,layers_8,pread,128,1,1,0.00,100.00,988.77,960.89,1949.66,1.62,24.00,25.00,1.83,54010796
C,orig,layers_8,async,128,1,1,0.00,100.00,1016.57,277.61,1294.18,1.60,24.00,25.00,1.93,54011328
C,orig,layers_12,pread,128,1,1,0.00,100.00,1014.15,1363.65,2377.80,1.62,24.00,25.00,1.93,54011344
C,orig,layers_12,async,128,1,1,0.00,100.00,1026.07,281.80,1307.87,1.60,24.00,25.00,1.93,54011164
C,orig,layers_16,pread,128,1,1,0.00,100.00,1010.73,1714.48,2725.21,1.59,24.00,25.00,1.93,54011496
C,orig,layers_16,async,128,1,1,0.00,100.00,1026.22,289.67,1315.89,1.60,24.00,25.00,1.93,54011844
C,orig,layers_24,pread,128,1,1,0.00,100.00,1007.33,2457.68,3465.01,1.60,24.00,25.00,1.93,54011676
C,orig,layers_24,async,128,1,1,0.00,100.00,1014.66,324.23,1338.89,1.62,24.00,25.00,1.93,53985144
C,orig,layers_32,pread,128,1,1,0.00,100.00,1013.88,3066.00,4079.88,1.60,24.00,25.00,1.93,53985412
C,orig,layers_32,async,128,1,1,0.00,100.00,1008.96,304.42,1313.38,1.59,24.00,25.00,1.93,53986760
