workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
C,vacuum,layers_64,pread,1,128,505.26,,505.26,0,100.0,5763.52,6268.78,0.0
C,vacuum,layers_8,async,3,128,900.86,,899.56,1.07,100.0,271.74,1172.60,0.0
C,vacuum,layers_8,pread,1,128,884.71,,884.71,0,100.0,1005.50,1890.21,0.0
C,vacuum,layers_92,async,3,128,504.30,,470.79,17.68,100.0,389.11,892.29,0.0
C,vacuum,layers_92,pread,1,128,504.40,,504.40,0,100.0,7408.55,7912.95,0.0
Z,orig,baseline,baseline,3,128,509.32,,494.80,27.62,0.0,0.00,509.32,0.0
Z,orig,layers_1,async,3,128,675.65,,662.69,11.45,100.0,262.52,938.68,0.0
Z,orig,layers_1,pread,1,128,683.17,,683.17,0,100.0,347.11,1030.28,0.0
Z,orig,layers_12,async,3,128,364.36,,362.61,1.34,100.0,277.73,641.72,0.0
Z,orig,layers_12,pread,1,128,163.30,,163.30,0,100.0,1364.44,1527.74,0.0
Z,orig,layers_16,async,3,128,363.96,,361.56,8.24,100.0,283.66,647.62,0.0
Z,orig,layers_16,pread,1,128,165.76,,165.76,0,100.0,1710.78,1876.54,0.0
Z,orig,layers_2,async,3,128,676.36,,619.10,28.29,100.0,263.95,941.54,0.0
Z,orig,layers_2,pread,1,128,637.58,,637.58,0,100.0,445.08,1082.66,0.0
Z,orig,layers_24,async,3,128,339.03,,338.61,1.79,100.0,293.85,633.53,0.0
Z,orig,layers_24,pread,1,128,167.68,,167.68,0,100.0,2371.21,2538.89,0.0
Z,orig,layers_3,async,3,128,637.65,,614.81,30.69,100.0,263.37,895.69,0.0
Z,orig,layers_3,pread,1,128,466.32,,466.32,0,100.0,470.96,937.28,0.0
Z,orig,layers_32,async,3,128,381.28,,335.88,21.46,100.0,309.25,685.98,0.0
