workload,N,rep,first_query_us,avg_us,majflt,minflt
B,40,3,530.19,2.15,181,275
B,41,1,467.25,2.11,181,276
B,41,2,526.18,2.12,181,275
B,41,3,542.40,2.14,181,275
B,42,1,539.42,2.13,181,275
B,42,2,527.69,2.14,181,275
B,42,3,524.22,2.14,181,275
B,43,1,517.58,2.17,181,275
B,43,2,535.72,2.16,181,276
B,43,3,533.22,2.12,181,275
B,44,1,535.29,2.15,181,276
B,44,2,538.77,2.15,181,275
B,44,3,530.19,2.17,181,275
B,45,1,467.12,2.08,181,275
B,45,2,471.78,2.11,181,275
B,45,3,526.13,2.13,181,275
B,46,1,530.46,2.12,181,275
B,46,2,535.64,2.14,181,275
B,46,3,530.92,2.14,181,275
B,47,1,539.69,2.18,181,275
B,47,2,525.46,2.12,181,275
B,47,3,532.01,2.15,181,275
B,48,1,544.50,2.15,181,275
B,48,2,703.17,2.17,181,275
B,48,3,655.58,2.15,181,275
B,49,1,531.91,2.15,181,275
B,49,2,525.15,2.13,181,275
B,49,3,535.04,2.12,181,275
B,50,1,521.35,2.16,181,276
B,50,2,531.55,2.13,181,276
B,50,3,528.11,2.16,181,275
B,51,1,545.43,2.15,181,275
B,51,2,535.08,2.15,181,275
B,51,3,540.35,2.13,181,275
B,52,1,525.38,2.17,181,275
B,52,2,1032.18,2.20,181,275
B,52,3,529.13,2.13,181,275
B,53,1,535.25,2.17,181,275
B,53,2,529.63,2.14,181,275
B,53,3,524.86,2.20,181,276
B,54,1,526.86,2.14,181,275
B,54,2,534.17,2.16,181,275
B,54,3,523.97,2.14,181,276
B,55,1,530.87,2.17,181,275
B,55,2,538.41,2.14,181,275
B,55,3,540.82,2.15,181,275
B,56,1,531.28,2.14,181,275
B,56,2,527.70,2.18,181,275
B,56,3,530.07,2.16,181,275
B,57,1,527.81,2.14,181,275
B,57,2,522.50,2.15,181,275
B,57,3,542.75,2.11,181,275
B,58,1,537.95,2.15,181,275
B,58,2,523.76,2.15,181,275
B,58,3,523.25,2.12,181,275
B,59,1,533.44,2.16,181,275
B,59,2,537.33,2.13,181,275
B,59,3,535.45,2.14,181,275
B,60,1,546.83,2.17,181,275
B,60,2,534.66,2.14,181,275
B,60,3,533.46,2.17,181,275
B,61,1,535.38,2.17,181,275
B,61,2,549.72,2.17,181,275
B,61,3,539.85,2.23,181,275
B,62,1,532.62,2.14,181,275
B,62,2,678.83,2.13,181,275
B,62,3,527.60,2.11,181,275
B,63,1,528.32,2.19,181,276
B,63,2,535.23,2.17,181,275
B,63,3,526.67,2.17,181,275
B,64,1,541.11,2.17,181,275
B,64,2,534.58,2.22,181,275
B,64,3,525.79,2.17,181,275
B,65,1,537.09,2.14,181,275
B,65,2,526.11,2.17,181,275
B,65,3,531.94,2.13,181,276
B,66,1,471.43,2.10,181,275
B,66,2,532.54,2.08,181,275
B,66,3,459.75,2.08,181,276
B,67,1,537.76,2.13,181,275
B,67,2,531.76,2.15,181,275
B,67,3,528.31,2.13,181,275
B,68,1,534.20,2.17,181,275
B,68,2,537.44,2.27,181,275
B,68,3,464.81,2.18,181,275
B,69,1,530.97,2.24,181,275
B,69,2,540.23,2.13,181,275
B,69,3,517.90,2.12,181,276
B,70,1,566.50,2.15,181,275
B,70,2,532.16,2.13,181,275
B,70,3,534.41,2.18,181,275
B,71,1,533.27,2.15,181,275
B,71,2,542.07,2.15,181,276
B,71,3,538.36,2.13,181,275
B,72,1,530.86,2.18,181,275
B,72,2,539.88,2.20,181,275
B,72,3,544.88,2.20,181,275
B,73,1,537.73,2.11,181,275
B,73,2,661.56,2.11,181,275
B,73,3,709.47,2.10,181,275
B,74,1,483.68,2.13,181,275
B,74,2,598.03,2.16,181,275
B,74,3,654.09,2.16,181,276
B,75,1,530.07,2.16,181,275
B,75,2,654.51,2.16,181,275
B,75,3,476.07,2.16,181,275
B,76,1,533.38,2.17,181,275
B,76,2,554.13,2.15,181,275
B,76,3,528.77,2.14,181,275
B,77,1,468.15,2.15,181,276
B,77,2,466.92,2.11,181,275
B,77,3,469.85,2.10,181,275
B,78,1,538.52,2.13,181,275
B,78,2,527.62,2.11,181,275
B,78,3,531.55,2.18,181,275
B,79,1,529.23,2.13,181,275
B,79,2,528.43,2.14,181,275
B,79,3,530.08,2.15,181,275
B,80,1,544.43,2.14,181,275
B,80,2,539.68,2.18,181,275
B,80,3,550.66,2.16,181,276
B,81,1,541.71,2.19,181,275
B,81,2,546.50,2.16,181,275
B,81,3,533.06,2.18,181,275
B,82,1,543.07,2.14,181,276
B,82,2,694.18,2.16,181,275
B,82,3,534.70,2.13,181,275
