workload,N,rep,first_query_us,avg_us,majflt,minflt
C,33,3,977.84,1.53,24,25
C,34,1,975.47,1.55,24,25
C,34,2,974.57,1.57,24,25
C,34,3,976.31,1.56,24,25
C,35,1,970.54,1.55,24,25
C,35,2,973.67,1.59,24,25
C,35,3,972.74,1.54,24,25
C,36,1,973.67,1.53,24,25
C,36,2,983.07,1.55,24,25
C,36,3,976.99,1.54,24,25
C,37,1,971.69,1.58,24,25
C,37,2,971.54,1.53,24,25
C,37,3,974.51,1.53,24,25
C,38,1,981.25,1.52,24,25
C,38,2,1010.67,1.52,24,25
C,38,3,968.88,1.55,24,25
C,39,1,989.63,1.55,24,25
C,39,2,972.60,1.54,24,25
C,39,3,984.13,1.60,24,25
C,40,1,971.57,1.56,24,25
C,40,2,981.06,1.54,24,25
C,40,3,985.97,1.52,24,25
C,41,1,967.60,1.52,24,25
C,41,2,972.33,1.56,24,25
C,41,3,978.37,1.56,24,25
C,42,1,976.04,1.55,24,25
C,42,2,967.30,1.52,24,25
C,42,3,983.12,1.52,24,25
C,43,1,971.89,1.52,24,25
C,43,2,988.18,1.57,24,25
C,43,3,984.83,1.53,24,25
C,44,1,967.88,1.55,24,25
C,44,2,981.11,1.53,24,25
C,44,3,973.78,1.55,24,25
C,45,1,961.69,1.54,24,25
C,45,2,982.82,1.53,24,25
C,45,3,973.04,1.52,24,25
C,46,1,968.09,1.52,24,25
C,46,2,979.57,1.53,24,25
C,46,3,975.52,1.54,24,25
C,47,1,973.57,1.53,24,25
C,47,2,977.25,1.54,24,25
C,47,3,975.05,1.55,24,25
C,48,1,972.66,1.54,24,25
C,48,2,981.52,1.54,24,25
C,48,3,974.07,1.57,24,25
C,49,1,983.80,1.55,24,25
C,49,2,971.16,1.56,24,25
C,49,3,976.33,1.57,24,25
C,50,1,977.31,1.53,24,25
C,50,2,978.31,1.55,24,25
C,50,3,991.95,1.55,24,25
C,51,1,974.25,1.55,24,25
C,51,2,977.02,1.54,24,25
C,51,3,979.35,1.54,24,25
C,52,1,970.84,1.55,24,25
C,52,2,982.53,1.55,24,25
C,52,3,921.58,1.54,24,25
C,53,1,916.33,1.55,24,25
C,53,2,978.16,1.55,24,25
C,53,3,845.59,1.53,24,25
C,54,1,969.63,1.55,24,25
C,54,2,970.88,1.56,24,25
C,54,3,912.54,1.51,24,25
C,55,1,979.10,1.53,24,25
C,55,2,972.62,1.52,24,25
C,55,3,981.83,1.53,24,25
C,56,1,968.68,1.55,24,25
C,56,2,978.23,1.52,24,25
C,56,3,968.63,1.52,24,25
C,57,1,986.23,1.52,24,26
C,57,2,968.13,1.55,24,25
C,57,3,968.34,1.54,24,25
C,58,1,974.92,1.52,24,25
C,58,2,980.01,1.57,24,25
C,58,3,972.48,1.54,24,25
