workload,N,rep,first_query_us,avg_us,majflt,minflt
C,52,3,818.24,1.47,14,33
C,53,1,396.93,1.46,14,36
C,53,2,422.99,1.45,14,37
C,53,3,420.94,1.47,14,36
C,54,1,429.59,1.48,14,36
C,54,2,426.80,1.46,14,36
C,54,3,426.12,1.48,14,36
C,55,1,459.93,1.48,14,36
C,55,2,413.31,1.46,14,36
C,55,3,395.41,1.49,14,36
C,56,1,416.65,1.47,14,36
C,56,2,400.61,1.47,14,36
C,56,3,396.55,1.46,14,36
C,57,1,458.50,1.51,14,36
C,57,2,426.14,1.46,14,36
C,57,3,426.89,1.49,14,36
C,58,1,432.12,1.48,14,36
C,58,2,432.00,1.47,14,36
C,58,3,393.41,1.48,14,36
C,59,1,425.13,1.45,14,36
C,59,2,453.50,1.46,14,37
C,59,3,433.46,1.48,14,36
C,60,1,449.32,1.45,14,36
C,60,2,425.76,1.45,14,36
C,60,3,435.20,1.46,14,36
C,61,1,430.85,1.46,14,36
C,61,2,397.61,1.46,14,36
C,61,3,403.99,1.46,14,36
C,62,1,428.65,1.47,14,36
C,62,2,400.52,1.49,14,36
C,62,3,402.84,1.45,14,36
C,63,1,431.26,1.46,14,36
C,63,2,428.96,1.46,14,36
C,63,3,427.51,1.45,14,36
C,64,1,426.62,1.46,14,36
C,64,2,434.45,1.47,14,36
C,64,3,431.27,1.45,14,36
C,65,1,394.46,1.47,14,36
C,65,2,429.16,1.48,14,36
C,65,3,390.71,1.45,14,36
C,66,1,394.85,1.45,14,36
C,66,2,405.49,1.47,14,36
C,66,3,401.38,1.46,14,36
C,67,1,393.89,1.46,14,36
C,67,2,428.12,1.46,14,37
C,67,3,427.67,1.45,14,36
C,68,1,429.64,1.45,14,36
C,68,2,423.58,1.45,14,36
C,68,3,428.12,1.46,14,36
C,69,1,398.99,1.45,14,36
C,69,2,436.74,1.47,14,36
C,69,3,437.78,1.47,14,36
C,70,1,430.61,1.46,14,36
C,70,2,427.29,1.46,14,36
