workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
B,vacuum,2e_K50,20M,3,265.66,1.78,147,240
B,vacuum,2e_K100,20M,3,257.44,1.79,149,244
B,vacuum,2e_K500,20M,3,419.94,1.76,151,270
B,vacuum,2f_SLRU,20M,3,19.00,1.57,0,216
B,vacuum,base,20M,4,511.54,1.78,144,237
B,vacuum,2d,20M,4,248.32,1.78,145,235
B,vacuum,2e_K10,20M,4,248.85,1.77,145,237
B,vacuum,2e_K50,20M,4,249.54,1.79,147,241
B,vacuum,2e_K100,20M,4,252.31,1.77,149,241
B,vacuum,2e_K500,20M,4,248.25,1.81,151,271
B,vacuum,2f_SLRU,20M,4,18.28,1.55,0,215
B,vacuum,base,20M,5,513.95,1.79,144,237
B,vacuum,2d,20M,5,246.96,1.78,145,235
B,vacuum,2e_K10,20M,5,253.00,1.77,145,237
B,vacuum,2e_K50,20M,5,258.57,1.78,147,239
B,vacuum,2e_K100,20M,5,250.63,1.79,149,243
B,vacuum,2e_K500,20M,5,329.74,1.77,151,268
B,vacuum,2f_SLRU,20M,5,18.40,1.56,0,215
B,vacuum,base,20M,6,498.95,1.75,144,237
B,vacuum,2d,20M,6,252.48,1.74,145,235
B,vacuum,2e_K10,20M,6,258.44,1.76,145,237
B,vacuum,2e_K50,20M,6,250.15,1.76,147,239
B,vacuum,2e_K100,20M,6,263.69,1.80,149,244
B,vacuum,2e_K500,20M,6,368.56,1.80,151,274
B,vacuum,2f_SLRU,20M,6,17.51,1.55,0,215
B,vacuum,base,none,1,507.93,1.76,144,238
B,vacuum,2d,none,1,251.27,1.76,145,236
B,vacuum,2e_K10,none,1,246.95,1.76,145,237
B,vacuum,2e_K50,none,1,258.35,1.76,147,239
B,vacuum,2e_K100,none,1,257.70,1.81,149,243
B,vacuum,2e_K500,none,1,384.40,1.78,151,270
B,vacuum,2f_SLRU,none,1,15.85,1.57,0,216
B,vacuum,base,none,2,496.24,1.77,144,237
B,vacuum,2d,none,2,244.18,1.78,145,235
B,vacuum,2e_K10,none,2,241.16,1.77,145,237
B,vacuum,2e_K50,none,2,253.97,1.77,147,241
B,vacuum,2e_K100,none,2,254.47,1.79,149,244
B,vacuum,2e_K500,none,2,329.85,1.80,151,271
B,vacuum,2f_SLRU,none,2,20.81,1.55,0,215
B,vacuum,base,none,3,511.00,1.75,144,237
B,vacuum,2d,none,3,249.09,1.77,145,235
B,vacuum,2e_K10,none,3,247.44,1.76,145,237
B,vacuum,2e_K50,none,3,251.93,1.77,147,240
B,vacuum,2e_K100,none,3,252.34,1.79,149,242
B,vacuum,2e_K500,none,3,347.65,1.81,151,270
B,vacuum,2f_SLRU,none,3,17.71,1.55,0,215
B,vacuum,base,none,4,515.47,1.76,144,237
B,vacuum,2d,none,4,264.54,1.79,145,235
B,vacuum,2e_K10,none,4,251.15,1.78,145,238
B,vacuum,2e_K50,none,4,262.80,1.77,147,240
B,vacuum,2e_K100,none,4,244.23,1.79,149,242
B,vacuum,2e_K500,none,4,290.83,1.79,151,269
B,vacuum,2f_SLRU,none,4,18.80,1.56,0,215
B,vacuum,base,none,5,507.96,1.79,144,237
B,vacuum,2d,none,5,259.90,1.78,145,235
B,vacuum,2e_K10,none,5,256.36,1.77,145,237
B,vacuum,2e_K50,none,5,250.51,1.77,147,240
B,vacuum,2e_K100,none,5,304.93,1.79,149,243
B,vacuum,2e_K500,none,5,351.33,1.81,151,268
B,vacuum,2f_SLRU,none,5,16.51,1.58,0,215
B,vacuum,base,none,6,505.92,1.79,144,237
B,vacuum,2d,none,6,251.17,1.77,145,235
B,vacuum,2e_K10,none,6,249.51,1.76,145,237
B,vacuum,2e_K50,none,6,251.66,1.81,147,239
B,vacuum,2e_K100,none,6,256.84,1.81,149,243
B,vacuum,2e_K500,none,6,341.48,1.80,151,274
B,vacuum,2f_SLRU,none,6,16.57,1.55,0,215
B,ta,base,20M,1,407.24,1.91,214,353
B,ta,2d,20M,1,390.69,1.86,189,283
B,ta,2e_K10,20M,1,251.65,1.86,189,291
B,ta,2e_K50,20M,1,259.99,1.91,230,373
B,ta,2e_K100,20M,1,321.24,1.85,192,299
B,ta,2e_K500,20M,1,333.34,1.93,226,401
B,ta,2f_SLRU,20M,1,16.46,1.87,179,501
B,ta,base,20M,2,402.35,1.91,204,365
B,ta,2d,20M,2,401.76,1.85,185,277
B,ta,2e_K10,20M,2,250.34,1.84,188,289
B,ta,2e_K50,20M,2,251.37,1.85,188,285
B,ta,2e_K100,20M,2,318.53,1.85,191,298
B,ta,2e_K500,20M,2,391.01,1.88,205,340
